nose L eyes dist,nose R eyes dist,ear dist,ear dist X,ear dist Y,shoulders dist,shoulders dist X,hips dist,hips dist X,hips dist Y,ankles dist,elbow dist,knee dist,gran truth
7.49549198150635,6.92270565032959,24.9245986938477,24.9061,0.9609,56.59111022949221,56.5176,36.4138946533203,36.4012,0.9609,11.2163600921631,76.78453063964841,23.010278701782198,0.0
8.250645637512209,8.13587474822998,25.3625545501709,24.9044,4.7989,63.9431991577149,63.2188,40.7872161865234,40.2301,6.7183,37.348560333252,74.8191604614258,31.6240043640137,0.0
16.708787918090803,6.138432502746579,21.9892883300781,21.9893,0.0,47.88949966430661,47.8028,28.745904922485398,28.6817,1.9206,27.034523010253896,65.99575805664061,11.5411911010742,0.0
11.1826906204224,4.05654382705689,17.2198867797852,17.1933,0.9571,40.1632843017578,40.1176,25.8608245849609,25.7899,1.9142,16.7176895141602,53.236480712890604,21.2092819213867,0.0
19.9474277496338,18.009576797485398,28.7595520019531,28.7596,0.0,66.20944976806639,66.14699999999999,43.149959564209006,43.1393,0.9585,27.248628616332997,87.4684600830078,30.63142204284669,0.0
5.40465450286865,14.1424236297607,20.990646362304695,20.9025,1.9214,44.748363494873104,44.6555,29.5942211151123,29.4536,2.882,27.8200149536133,58.084285736084006,27.5700874328613,0.0
11.2231092453003,12.5034656524658,25.922977447509798,25.9052,0.9588,63.33113861083979,63.3239,36.6603851318359,36.4592,3.8351,7.30261421203613,78.193244934082,11.5533123016357,0.0
8.83285617828369,8.24340343475342,31.5823783874512,31.5678,0.9592,71.74517822265629,71.7452,42.101409912109396,42.0905,0.9591,46.773406982421896,88.1953659057617,32.5386123657227,0.0
6.120508670806888,6.76410055160522,24.7856750488281,24.7857,0.0,59.2289161682129,59.1043,39.096897125244105,39.0851,0.9599,26.384057998657198,88.91077423095699,32.382381439209,0.0
10.1975574493408,8.25337886810303,30.6873798370361,30.6724,0.9599,71.14300537109379,69.0129,45.69987487792971,45.05,7.6793,42.5470542907715,87.32528686523442,39.4860801696777,0.0
4.78078269958496,3.44984197616577,11.538649559021001,11.3776,1.9213,21.806884765625,21.8069,14.2218627929687,14.2219,0.0,4.83701229095459,35.093776702880895,5.7692594528198216,0.0
4.79664897918701,4.068328857421879,19.1718978881836,19.1478,0.9604,45.9647445678711,45.9547,27.913448333740202,27.7643,2.8813,26.617696762085,63.65317153930661,20.1396579742432,0.0
6.06395387649536,6.97988557815552,18.2647075653076,18.2395,0.9586,46.078826904296896,46.0788,25.990158081054698,25.9193,1.9173,13.8391399383545,54.726993560790994,24.0185279846191,0.0
6.13157749176025,6.131596565246579,21.923170089721694,21.9021,0.961,46.6610107421875,46.661,27.6324081420898,27.6157,0.961,27.323751449585,60.9525833129883,2.7057559490203897,0.0
3.9466967582702597,4.881720542907719,16.13818359375,16.1382,0.0,34.175048828125,34.175,24.681945800781197,24.6819,0.0,7.5944519042968786,47.81186294555661,20.9724159240723,0.0
5.597858428955081,5.4294748306274405,22.084852218627898,22.064,0.9603,53.4650001525879,52.7618,35.494384765625,35.4944,0.0,0.9593505859375,67.54364013671879,23.3631534576416,0.0
6.0555725097656286,5.15525674819946,20.047433853149396,20.0245,0.9579,42.65053176879879,41.9564,25.0867023468018,24.7924,3.8317,3.0167219638824503,53.4590263366699,19.0711669921875,0.0
3.95345401763916,10.3135623931885,16.2752685546875,16.2753,0.0,34.4786987304687,34.4654,23.156295776367198,22.9769,2.8768,9.57934856414795,50.5257759094238,17.2593269348145,0.0
5.5853571891784695,5.58529472351074,16.232427597045902,16.204,0.9596,40.0449447631836,40.0334,25.8072319030762,25.7358,1.9191,13.601582527160597,53.4554977416992,20.0397109985352,0.0
5.16524076461792,4.79547119140625,21.1327972412109,21.111,0.9591,45.1925163269043,45.1008,29.747375488281197,29.7474,0.0,23.9853343963623,61.891357421875,19.3094253540039,0.0
3.03471636772156,4.28676223754883,14.2440185546875,14.244000000000002,0.0,33.2915878295898,33.2361,23.1121883392334,22.7904,3.8431,26.744638442993196,48.85986328125,25.711153030395497,0.0
26.925760269165,4.79002094268799,15.2943115234375,15.2943,0.0,33.7984085083008,33.4564,23.0215950012207,22.9415,1.9184,30.4449081420898,49.64542388916021,9.58003044128418,0.0
6.77894401550293,6.77894401550293,0.0,0.0,0.0,16.0556316375732,15.3234,25.556350708007802,24.9006,5.7523,83.3266220092773,28.963478088378896,46.3287696838379,0.0
7.499720096588138,6.92607975006104,24.9488220214844,24.9303,0.9612,56.5726318359375,56.5726,34.5724105834961,34.5189,1.9224,37.792083740234396,74.4552001953125,20.5389423370361,0.0
3.96174597740173,8.56276226043701,21.0625915527344,21.0406,0.9612,44.9607467651367,44.9505,31.6923828125,31.5609,2.8834,36.9604148864746,60.3216705322266,32.531566619873,0.0
10.2767124176025,4.053916931152339,16.2402191162109,16.212,0.9574,36.3521690368652,36.2385,23.8411865234375,23.8412,0.0,26.464918136596694,47.7686157226563,24.8685646057129,0.0
8.136805534362791,7.73626279830933,27.2412090301514,26.8148,4.8009,67.04380035400389,67.0369,43.105785369873104,43.0951,0.9602,21.8725967407227,84.4115982055664,31.83567237854,0.0
7.4785442352294895,6.13543891906738,27.728515625,27.7285,0.0,68.8699417114258,68.8432,41.1594467163086,41.1147,1.919,41.2564849853516,94.4080047607422,33.4827651977539,0.0
7.7342624664306605,7.490717887878421,22.2282981872559,22.0411,2.8789,54.5164260864258,53.6652,34.6189346313477,34.499,2.8789,24.9995899200439,73.7224884033203,34.5575523376465,0.0
